Respondent ID,Respondant Zip Code,Urban or Rural,Age,Gender,Ethnicity,Income Re-scaled see document for re-scaling,Education Re-scaled see document for rescaling,Household size Re-scaled see document for rescaling,Marital,Employment Simple,Elections: I think elections are fair and reliable Re-scaled see document for rescaling,"Last Election: Didn't Vote 0, Democrat 1, Republican 2",Elections: I understand the term 'democracy' to mean:,Elections: How would you define the political system in which you live? ,Political System Oppinions: Which of these two political systems do you think is the most effective and functional for making complex decisions? ,Political System Oppinions: Which of these two political systems would you prefer to live in?,Economic Instability Re-scaled: 0=no impact 3=high impact,Energy Crisis Re-scaled 0=no impact 3=high impact,Climate Change Re-scaled 0=no impact 3=high impact,Lack of Natural Resources Re-scaled 0=no impact 3=high impact,Militarty Conflicts Re-scaled 0=no impact 3=high impact,Interstate Conflicts Re-scaled 0=no impact 3=high impact,Employment and Livelihood Re-scaled 0=no impact 3=high impact,Infectious Disease Re-scaled 0=no impact 3=high impact,AI Re-scaled 0=no impact 3=high impact,Cybersecurity Re-scaled 0=no impact 3=high impact,Composite Crisis Score (Sum of all Crisis Scores),Systems Thinking Score 0-36,Trust Score 1-5,Conspiracy 5-20,Complexity 5-20,Openness 3-21,Conscienciousness 3-21,Extroversion 3-21,Agreeableness 3-21,Neuroticism 3-21
2590,85716,Urban,46,Female,Black,4,3,3,Single,Employed Full-time,2,1,That there is a well-functioning social system,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,28,1,8,13,8,21,7,21,17
1713,85396,Rural,20,Female,Hispanic,1,1,6,Single,Unemployed,0,0,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,21,1,10,13,10,12,14,11,12
2453,0,Rural,63,Male,White,6,3,2,Married,Retired,0,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Autocracy,Autocracy,3,3,3,3,3,3,3,3,3,3,30,18,4,10,9,12,18,12,15,11
2052,85225,Urban,32,Female,White,5,2,3,Married,Unemployed,1,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Autocracy,3,3,3,3,3,3,3,3,3,3,30,32,2.6666667,15,13,12,17,12,17,21
1736,85297,Urban,43,Male,Asian,9,6,4,Married,Employed Full-time,2,0,That there is no great gap between rich and poor,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,36,3.3333333,20,19,12,12,12,12,12
1557,85365,Urban,20,Female,Hispanic,3,2,6,Married,Other,2,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Autocracy,3,3,3,3,3,3,3,3,3,3,30,28,3.6666667,8,11,13,17,12,18,20
1771,85014,Urban,63,Female,White,9,5,2,Married,Employed Full-time,1,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,1,3,3,3,3,3,3,3,28,23,4.6666665,5,7,14,21,15,21,3
2199,85140,Urban,40,Male,White,4,3,2,Single,Employed Part-time,0,0,That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,25,2.3333333,8,16,14,11,11,13,13
1690,85306,Urban,57,Female,Black,5,6,2,Seperated,Employed Full-time,0,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,19,2.6666667,9,10,14,18,16,14,9
2617,85203,Rural,27,Female,White,1,2,5,Married,Other,0,1,That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,27,2.3333333,10,14,15,14,13,17,21
