Respondent ID,Respondant Zip Code,Urban or Rural,Age,Gender,Ethnicity,Income,Education,Household Size,Marital,Employment,Elections: I think elections are fair and reliable Re-scaled see document for rescaling,"Last Election: Didn't Vote 0, Democrat 1, Republican 2",Elections: I understand the term 'democracy' to mean:,Elections: How would you define the political system in which you live?,Political System Oppinions: Which of these two political systems do you think is the most effective and functional for making complex decisions?,Political System Oppinions: Which of these two political systems would you prefer to live in?,Economic Instability Re-scaled: 0=no impact 3=high impact,Energy Crisis Re-scaled 0=no impact 3=high impact,Climate Change Re-scaled 0=no impact 3=high impact,Lack of Natural Resources Re-scaled 0=no impact 3=high impact,Militarty Conflicts Re-scaled 0=no impact 3=high impact,Interstate Conflicts Re-scaled 0=no impact 3=high impact,Employment and Livelihood Re-scaled 0=no impact 3=high impact,Infectious Disease Re-scaled 0=no impact 3=high impact,AI Re-scaled 0=no impact 3=high impact,Cybersecurity Re-scaled 0=no impact 3=high impact,Composite Crisis Score (Sum of all Crisis Scores),Systems Thinking Score 0-1,Trust Score 0-1,Conspiracy 0-1,Complexity 0-1,Openness 0-1,Conscientiousness 0-1,Extraversion 0-1,Agreeableness 0-1,Neuroticism 0-1
2590,85716,Urban,46,Female,Black,4,3,3,Single,Employed Full-time,2,1,That there is a well-functioning social system,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.7777777778,0,0.2,0.5333333333,0.2777777778,1,0.2222222222,1,0.7777777778
1713,85396,Rural,20,Female,Hispanic,1,1,6,Single,Unemployed,0,0,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.5833333333,0,0.3333333333,0.5333333333,0.3888888889,0.5,0.6111111111,0.4444444444,0.5
2453,0,Rural,63,Male,White,6,3,2,Married,Retired,0,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Autocracy,Autocracy,3,3,3,3,3,3,3,3,3,3,30,0.5,0.75,0.3333333333,0.2666666667,0.5,0.8333333333,0.5,0.6666666667,0.4444444444
2052,85225,Urban,32,Female,White,5,2,3,Married,Unemployed,1,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Autocracy,3,3,3,3,3,3,3,3,3,3,30,0.8888888889,0.416666675,0.6666666667,0.5333333333,0.5,0.7777777778,0.5,0.7777777778,1
1736,85297,Urban,43,Male,Asian,9,6,4,Married,Employed Full-time,2,0,That there is no great gap between rich and poor,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,1,0.583333325,1,0.9333333333,0.5,0.5,0.5,0.5,0.5
1557,85365,Urban,20,Female,Hispanic,3,2,6,Married,Other,2,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Autocracy,3,3,3,3,3,3,3,3,3,3,30,0.7777777778,0.666666675,0.2,0.4,0.5555555556,0.7777777778,0.5,0.8333333333,0.9444444444
1771,85014,Urban,63,Female,White,9,5,2,Married,Employed Full-time,1,2,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,1,3,3,3,3,3,3,3,28,0.6388888889,0.916666625,0,0.1333333333,0.6111111111,1,0.6666666667,1,0
2199,85140,Urban,40,Male,White,4,3,2,Single,Employed Part-time,0,0,That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,3,3,3,3,3,3,3,3,3,3,30,0.6944444444,0.333333325,0.2,0.7333333333,0.6111111111,0.4444444444,0.4444444444,0.5555555556,0.5555555556
1690,85306,Urban,57,Female,Black,5,6,2,Seperated,Employed Full-time,0,0,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.5277777778,0.416666675,0.2666666667,0.3333333333,0.6111111111,0.8333333333,0.7222222222,0.6111111111,0.3333333333
2617,85203,Rural,27,Female,White,1,2,5,Married,Other,0,1,That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.75,0.333333325,0.3333333333,0.6,0.6666666667,0.6111111111,0.5555555556,0.7777777778,1
2354,85364,Urban,37,Male,Black,5,3,6,Single,Other,1,0,That there is no great gap between rich and poor,Democracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,30,0.75,0.416666675,0.3333333333,0.8,0.6666666667,0.8888888889,0.5555555556,0.7777777778,0.3888888889
