id,Zip Code,area,age_con,sex,ethnicity,,,,,,,q44,q45,q46,q48,q50,q51_1,q51_2,q51_3,q52_1,,q52_2,,q52_3,,q52_4,,q52_5,,q52_6,,q52_7,,q52_8,,q52_9,,q52_10,,,sts,trust,conspiracy,complexity,open,conscie,extrav,agreeab,neuro
Respondent ID,Respondant Zip Code,Urban or Rural?,Age,Gender,Ethnicity,Income Re-scaled,Education re-scaled,Household size Re-scaled,Marital,Employment Simple,Elections: I think elections are fair and reliable Re-scaled,"Elections: During the last (2022) election, I voted:",Elections: I understand the term 'democracy' to mean:,Elections: How would you define the political system in which you live? ,Political System Oppinions: Which of these two political systems do you think is the most effective and functional for making complex decisions? ,Political System Oppinions: Which of these two political systems would you prefer to live in?,Crisis: Primary,Crisis: Secondary,Crisis: Third,"Economic instability: general price level of goods and services, bankruptcies, debt, housing prices",Economic Instability Re-scaled,"Energy crises: Supply shortages, high costs, necessary changes to heating systems",Energy Crisis Re-scaled,"Climate change: extreme weather events, natural disasters, damage to ecosystems, loss of biodiversity",Climate Change Re-scaled,"Lack of natural resources: necessary raw materials for production, sufficient food or water",Lack of Natural Resources Re-scaled,"Military conflicts: wars, military interventions, terrorist attacks, weapons of mass destruction",Militarty Conflicts Re-scaled,Interstate conflicts: political or economic conflicts between states with global impacts,Interstate Conflicts Re-scaled,"Employment and livelihood crises: Unemployment, lower wages, brittle contracts",Employment and Livelihood Re-scaled,"Infectious diseases: Pandemics, massive and rapid spread of viruses",Infectious Disease Re-scaled,"Artificial intelligence: new software (e.g., ChatGPT), digital transformation",AI Re-scaled,"Cybersecurity: cybercrime, digital attacks, data leaks",Cybersecurity Re-scaled,Crisis Composit Score,Systems Thinking Score,Trust Score,Conspiracy,Complexity,Openness,Conscienciousness,Extroversion,Agreeableness,Neuroticism
1447,86406,urban,72,Male,White/Caucasian,8,4,2,Married or Partnered,Retired,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Autocracy,Democracy,inflation,Immigration,Bias of mainstream media,Medium impact,2,No impact,0,No impact,0,No impact,0,Low impact,1,No impact,0,Low impact,1,Low impact,1,No impact,0,Low impact,1,3,27,4.3333335,10,11,19,19,17,18,4
1448,85260,urban,64,Male,White/Caucasian,7,5,1,Single,Employed Full-time,2,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,None,,,Low impact,1,Low impact,1,No impact,0,Low impact,1,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,No impact,0,0,13,3.3333333,8,11,14,20,18,19,3
1449,85741,urban,35,Female,Hispanic,3,2,2,Single,Unemployed,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,the gun problems,the climate change,the abortion,Low impact,1,No impact,0,Medium impact,2,Low impact,1,No impact,0,Low impact,1,No impact,0,Low impact,1,No impact,0,No impact,0,2,15,4.3333335,8,15,9,16,9,13,5
1450,85042,rural,44,Female,White/Caucasian,1,1,6,Married or Partnered,Unemployed,0,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Democracy,Covid,,,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,High impact,3,Medium impact,2,Medium impact,2,11,20,2.6666667,15,12,8,9,9,12,21
1451,85212,urban,66,Female,White/Caucasian,5,2,3,Married or Partnered,Retired,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Fires in maui,,,Medium impact,2,Low impact,1,No impact,0,No impact,0,No impact,0,Low impact,1,Low impact,1,Low impact,1,No impact,0,No impact,0,3,27,2.6666667,8,6,16,19,14,18,12
1452,85339,urban,65,Female,White/Caucasian,8,4,3,Married or Partnered,Employed Full-time,0,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,covid,,,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Medium impact,2,Low impact,1,Medium impact,2,Medium impact,2,No impact,0,Low impact,1,6,18,3,9,13,16,21,19,20,10
1454,85138,urban,46,Female,Hispanic,5,4,4,Married or Partnered,Employed Full-time,2,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,Covid,,,No impact,0,No impact,0,No impact,0,Medium impact,2,Low impact,1,No impact,0,No impact,0,Low impact,1,No impact,0,No impact,0,1,24,3.3333333,7,13,20,21,20,20,11
1455,85716,urban,30,Female,White/Caucasian,6,2,4,Seperated,Other,2,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,Pandemic,Cost Of Living,Climate Change,High impact,3,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Low impact,1,Medium impact,2,Medium impact,2,No impact,0,Low impact,1,6,29,4.3333335,8,15,19,21,15,19,9
1456,85225,urban,55,Male,White/Caucasian,8,3,2,Married or Partnered,Employed Full-time,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,Hawaii fires,Hurricane ilda,,High impact,3,Medium impact,2,Low impact,1,No impact,0,High impact,3,Low impact,1,No impact,0,Medium impact,2,Low impact,1,Low impact,1,5,29,3,8,14,6,18,9,16,5
